StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
18-Sep-19,28-Feb-20,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Involuntary,Simply game everyone despite line.,Sales,Field Operations,23-05-1988,NH,Shop,Male,32795,Asian,Widowed,Fully Meets,2
22-Apr-20,22-Jul-20,Sr. Accountant,PL,Active,Contract,Zone C,Part-Time,Retirement,Soon walk early star.,Production       ,Wireline Construction,29-08-1968,MA,Accounting,Female,10221,Hispanic,Widowed,Fully Meets,5
18-Oct-18,17-Jul-21,Production Technician II,EW,Terminated for Cause,Part-Time,Zone A,Part-Time,Resignation,Build very significant imagine cell doctor.,Production       ,Splicing,03-08-1952,MA,Runner,Female,9377,Black,Divorced,PIP,1
10-Jun-19,04-Dec-19,Production Technician II,WBL,Active,Full-Time,Zone A,Temporary,Resignation,Upon writer black.,Production       ,Project Management - Eng,17-09-1999,MA,Flagger,Female,79757,White,Married,Fully Meets,4
21-Nov-22,09-Jan-19,Production Technician II,CCDR,Terminated for Cause,Part-Time,Zone B,Temporary,Voluntary,Wonder worry life stand.,Production       ,Field Operations,07-09-1998,MA,Coordinator,Male,43912,Black,Widowed,Needs Improvement,5
20-Jul-21,23-Dec-21,Production Technician I,TNS,Active,Contract,Zone B,Temporary,Voluntary,Night office challenge several many.,Production       ,Field Operations,23-12-1946,MA,Construction Manager,Male,43370,White,Widowed,Fully Meets,2
27-Oct-22,25-Oct-19,Production Technician I,PYZ,Future Start,Part-Time,Zone B,Temporary,Voluntary,Foreign truth concern break ground.,Production       ,Safety,16-10-1972,MA,Top Hand,Female,64576,Other,Divorced,Fully Meets,3
28-Nov-21,18-Aug-28,Director of Sales,SVG,Leave of Absence,Contract,Zone A,Full-Time,Involuntary,Look dark travel herself election college what.,Production       ,Fielders,19-07-1962,MA,Engineer,Female,16298,White,Widowed,Fully Meets,2
15-Jul-21,08-Dec-21,Production Technician I,WBL,Active,Contract,Zone C,Full-Time,Resignation,Outside sing song relationship action teach.,Production       ,Aerial,19-08-1998,MA,Support,Male,20673,Other,Married,Fully Meets,3
24-Mar-21,18-Oct-22,Production Technician I,WBL,Active,Full-Time,Zone A,Full-Time,Retirement,Fact order police ability another pretty add.,Production       ,Field Operations,28-07-1984,MA,Laborer,Female,9658,Asian,Divorced,Fully Meets,4
28-Jul-19,05-Aug-29,Production Technician II,NEL,Future Start,Full-Time,Zone A,Temporary,Retirement,History follow budget forget instead mind.,Production       ,Sales & Marketing,09-12-1947,MA,Operator,Female,33948,Black,Divorced,Fully Meets,3
25-Jan-23,06-Jul-19,Administrative Assistant,WBL,Voluntarily Terminated,Full-Time,Zone C,Full-Time,Resignation,Look dark travel herself election college what.,Production       ,Wireless,25-07-1989,MA,Supervisor,Female,54646,Asian,Divorced,Fully Meets,2
26-Apr-19,24-Jan-27,Data Analyst,TNS,Active,Part-Time,Zone C,Full-Time,Voluntary,Reflect off growth mouth have.,IT/IS,Field Operations,25-06-1956,MA,Assistant,Female,95480,Asian,Divorced,Fully Meets,4
18-Jul-23,17-Jan-24,Production Technician I,PL,Terminated for Cause,Contract,Zone B,Part-Time,Resignation,Big large training region.,Production       ,General - Eng,31-05-1991,MA,Foreman,Female,34970,White,Divorced,Fully Meets,3
20-Oct-19,08-Jul-22,Production Technician II,CCDR,Active,Part-Time,Zone B,Full-Time,Involuntary,Then foot not.,Production       ,Field Operations,28-06-1958,MA,Laborer,Female,43347,White,Single,Fully Meets,3
25-Jul-19,02-Jul-28,Production Technician I,WBL,Terminated for Cause,Contract,Zone A,Full-Time,Voluntary,Food few generation seek outside.,Production       ,Yard (Material Handling),04-08-1990,MA,Driver,Female,92207,White,Married,Exceeds,1
15-Mar-19,19-Apr-28,Production Technician I,EW,Active,Full-Time,Zone A,Full-Time,Involuntary,Car book street pull try brother.,Production       ,Project Management - Con,18-03-1986,MA,Driller,Male,9608,Other,Married,Fully Meets,1
26-Feb-23,02-May-27,Production Technician II,PL,Active,Full-Time,Zone C,Temporary,Voluntary,Order risk think. North born would might.,Production       ,Field Operations,17-11-1947,MA,Laborer,Female,64566,Black,Divorced,Fully Meets,3
23-Apr-20,14-Apr-25,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Resignation,Never whatever loss economic off without cause.,Sales,Project Management - Con,01-07-1978,MT,Groundman,Male,12055,Asian,Widowed,Fully Meets,4
15-Dec-22,01-Feb-20,Production Technician II,TNS,Voluntarily Terminated,Part-Time,Zone B,Temporary,Resignation,Teach human market real upon.,Production       ,Field Operations,26-06-1993,MA,Attendant,Male,28776,Black,Widowed,PIP,3
14-Feb-22,19-Jul-20,Production Technician I,SVG,Leave of Absence,Contract,Zone C,Part-Time,Resignation,Center west table security.,Production       ,Project Management - Con,05-12-1946,MA,Model Assistant,Female,6733,White,Single,Fully Meets,1
02-May-22,01-Jun-26,Production Technician II,WBL,Leave of Absence,Full-Time,Zone B,Full-Time,Involuntary,Summer personal bag.,Production       ,Field Operations,04-12-1946,MA,Project Manager,Male,49090,Hispanic,Single,Fully Meets,2
31-Aug-21,04-Dec-22,Data Analyst,BPC,Active,Part-Time,Zone B,Full-Time,Involuntary,Board from heart ago allow list.,Production       ,Field Operations,20-08-1978,MA,Labor,Male,55351,Other,Divorced,Fully Meets,4
07-Oct-19,05-Sep-21,Production Technician I,PL,Active,Contract,Zone A,Part-Time,Voluntary,Anyone include world claim up.,Production       ,General - Con,27-07-1986,MA,Laborer,Female,29664,Asian,Divorced,Fully Meets,3
25-Apr-23,22-Nov-25,Area Sales Manager,NEL,Future Start,Contract,Zone C,Temporary,Voluntary,Why sport must page bad.,Sales,Catv,30-07-2000,TN,Electrician,Female,65139,Black,Single,Fully Meets,2
28-Jan-22,16-Jan-21,Production Technician II,PL,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Voluntary,Her office place.,Production       ,General - Con,26-12-1964,MA,Operator,Male,92713,Other,Divorced,Fully Meets,3
10-Aug-20,08-Feb-25,Director of Operations,NEL,Active,Part-Time,Zone B,Part-Time,Retirement,Improve center sure Mr respond for recent.,Admin Offices,Aerial,07-11-1945,MA,Accounting,Male,9627,White,Widowed,Fully Meets,4
10-Aug-21,03-Jul-23,Database Administrator,CCDR,Active,Part-Time,Zone C,Part-Time,Resignation,Expect maintain knowledge thus.,IT/IS,Sales & Marketing,03-05-1944,MA,Business Development,Female,56137,Other,Married,Exceeds,3
01-Feb-20,21-Feb-28,Production Technician I,EW,Active,Contract,Zone B,Part-Time,Resignation,Fast light home sign build not.,Production       ,Billable Consultants,04-02-1966,MA,Laborer,Male,50893,Hispanic,Widowed,Fully Meets,4
04-Mar-20,30-Jul-26,Production Technician II,TNS,Leave of Absence,Contract,Zone A,Part-Time,Resignation,Reason stock professional clear allow two town.,Production       ,Isp,07-08-1942,MA,Locator,Male,31127,Asian,Widowed,Fully Meets,4
20-Nov-22,31-Jan-27,Production Technician I,MSC,Active,Full-Time,Zone B,Temporary,Resignation,Work around personal cover reflect including.,Production       ,Engineers,08-04-1948,MA,Locator,Male,74581,White,Married,Fully Meets,3
24-Dec-21,06-Mar-19,Production Technician I,CCDR,Active,Full-Time,Zone B,Temporary,Retirement,Thing stock near question mouth.,Production       ,Yard (Material Handling),04-05-1951,MA,Manager,Female,64480,Hispanic,Divorced,Fully Meets,3
16-Feb-22,04-Aug-24,Production Technician I,SVG,Voluntarily Terminated,Contract,Zone C,Part-Time,Retirement,Wonder worry life stand.,Production       ,Catv,23-10-1946,MA,Model Assistant,Female,10427,White,Single,Fully Meets,5
09-Mar-21,09-Dec-24,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Resignation,Never whatever loss economic off without cause.,Sales,Project Management - Con,20-04-1977,TN,Generalist,Male,9175,Asian,Widowed,Fully Meets,5
14-Feb-23,29-May-26,Sr. Network Engineer,EW,Voluntarily Terminated,Contract,Zone C,Full-Time,Resignation,Leader specific wife appear art they.,Production       ,Yard (Material Handling),17-10-1963,MA,Intern,Female,36426,Asian,Married,Fully Meets,2
20-Feb-22,18-Jun-21,Production Technician I,CCDR,Active,Contract,Zone A,Full-Time,Voluntary,Buy become improve guess business know.,Production       ,Wireless,14-01-1979,MA,Operator,Female,77539,Other,Married,Fully Meets,3
31-Jan-20,03-Aug-26,Production Technician II,PL,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Retirement,Today situation minute figure friend opportunity.,Production       ,Field Operations,11-03-1977,MA,Groundman,Female,27728,Other,Married,Fully Meets,1
18-Apr-23,12-Aug-19,Production Technician II,PYZ,Active,Part-Time,Zone A,Full-Time,Involuntary,Look dark travel herself election college what.,Production       ,Catv,06-07-1984,MA,Vp,Female,37266,Hispanic,Divorced,PIP,2
05-Dec-21,31-Mar-24,Production Technician I,CCDR,Active,Full-Time,Zone B,Temporary,Retirement,Line know television.,Production       ,Catv,03-04-1951,MA,Generalist,Female,52017,Hispanic,Divorced,Fully Meets,3
29-Jun-22,09-Jan-26,Production Technician I,TNS,Active,Full-Time,Zone A,Full-Time,Retirement,Sense activity son. One radio Mr method shoulder.,Production       ,Field Operations,11-07-1979,MA,Laborer,Female,34313,Asian,Divorced,Fully Meets,2
15-Feb-20,09-Apr-24,Sr. Accountant,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Better design cause yet history decide.,IT/IS,Executive,26-07-1991,MA,Project Coordinator,Female,74737,Hispanic,Married,Fully Meets,3
08-Jul-19,21-Aug-21,Production Technician II,SVG,Leave of Absence,Full-Time,Zone B,Part-Time,Voluntary,Read nice continue itself attack happen.,Production       ,Field Operations,27-08-1999,MA,Laborer,Female,50819,White,Divorced,Fully Meets,3
27-Mar-20,05-Sep-21,IT Manager - Infra,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Fight look song material year happen.,IT/IS,Wireline Construction,09-05-1998,MA,Top Hand,Female,91950,Hispanic,Married,Fully Meets,3
16-Mar-20,08-May-22,Production Technician II,TNS,Leave of Absence,Contract,Zone B,Part-Time,Voluntary,Arrive its during organization about.,Production       ,Splicing,01-01-1992,MA,Safety,Female,81618,Hispanic,Widowed,Exceeds,3
16-Sep-19,08-Sep-22,Production Technician II,PYZ,Leave of Absence,Contract,Zone A,Part-Time,Involuntary,Establish fear recently owner.,Production       ,Isp,24-06-1991,MA,Construction Manager,Male,28215,Other,Divorced,Fully Meets,4
03-Feb-22,13-Mar-19,Sr. DBA,PL,Active,Part-Time,Zone C,Temporary,Resignation,Record your institution south stop play.,Production       ,Field Operations,02-08-1994,MA,Laborer,Male,65308,Black,Widowed,Fully Meets,5
12-Aug-19,16-Jul-23,Area Sales Manager,MSC,Active,Contract,Zone A,Full-Time,Involuntary,Yourself book budget product.,Sales,Field Operations,27-08-1942,IN,Planner,Male,27173,Hispanic,Divorced,PIP,1
13-May-20,09-Oct-20,Production Technician II,MSC,Active,Part-Time,Zone C,Temporary,Involuntary,Look dark travel herself election college what.,Production       ,Field Operations,13-07-1953,MA,Cfo,Female,13677,Asian,Single,Fully Meets,4
11-Jul-19,30-Apr-22,Production Technician II,PYZ,Future Start,Contract,Zone A,Part-Time,Involuntary,Young risk quality natural foreign claim.,Production       ,Safety,07-06-1995,MA,Model Assistant,Male,24048,Other,Divorced,Fully Meets,4
01-Jul-19,13-Nov-25,Area Sales Manager,PYZ,Active,Full-Time,Zone B,Temporary,Voluntary,Unit computer what age career.,Sales,Field Operations,20-09-1985,IN,Executive,Male,30172,Other,Married,Fully Meets,2
15-Aug-22,01-Dec-27,Production Technician I,WBL,Active,Full-Time,Zone A,Full-Time,Voluntary,Foreign friend policy green.,Production       ,Splicing,15-08-1967,MA,Labor,Female,79928,Hispanic,Single,PIP,3
27-Apr-22,22-Sep-26,Production Technician II,PL,Future Start,Full-Time,Zone B,Part-Time,Voluntary,North rise until plan join.,Production       ,Field Operations,18-06-1995,MA,Laborer,Female,60829,White,Divorced,Fully Meets,3
26-Feb-22,06-Jul-20,Production Manager,TNS,Terminated for Cause,Full-Time,Zone A,Full-Time,Resignation,Off part culture choose strong public.,IT/IS,Field Operations,13-11-1958,MA,Technician,Male,93221,Black,Married,Fully Meets,3
12-Apr-22,06-Nov-27,Production Technician II,CCDR,Active,Contract,Zone A,Part-Time,Retirement,Finish law price under.,Production       ,Field Operations,07-02-1945,MA,Laborer,Female,6145,Black,Married,Fully Meets,4
03-Feb-22,02-Nov-26,Production Technician I,MSC,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Voluntary,Board from heart ago allow list.,Production       ,Underground,17-07-1998,MA,Administrator,Male,82212,Hispanic,Married,Fully Meets,2
28-Dec-18,14-Feb-20,Production Technician I,BPC,Terminated for Cause,Part-Time,Zone B,Temporary,Retirement,Country as dream project office.,Production       ,Catv,05-10-1973,MA,Director,Female,55619,Black,Single,Fully Meets,3
30-Jan-19,30-Jan-19,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Audience deal cost figure student might let.,Sales,Wireline Construction,04-05-1955,MA,Tester,Male,88888,Black,Divorced,Fully Meets,4
28-May-23,26-Dec-21,Software Engineer,NEL,Terminated for Cause,Contract,Zone C,Full-Time,Resignation,Program personal mean life source reach.,Software Engineering,Field Operations,26-07-1993,MA,Supervisor,Female,28461,Black,Widowed,Fully Meets,3
16-Apr-22,25-Dec-19,Production Technician I,CCDR,Future Start,Contract,Zone A,Part-Time,Resignation,Officer thus service.,Production       ,Technology / It,10-08-1954,MA,Generalist,Male,45777,Other,Divorced,Fully Meets,3
26-Oct-18,07-May-24,Production Technician II,MSC,Leave of Absence,Part-Time,Zone B,Part-Time,Involuntary,Until reason late off training situation.,Production       ,Field Operations,25-09-1988,MA,Ceo,Male,30389,Other,Widowed,Fully Meets,3
24-Nov-20,30-Jul-25,Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Resignation,Occur tough thousand on recent.,IT/IS,Catv,30-03-1982,MA,Driver,Male,37454,Hispanic,Divorced,Fully Meets,4
14-Dec-21,14-Mar-28,Production Technician I,CCDR,Active,Full-Time,Zone B,Temporary,Involuntary,Little imagine career he produce program.,Production       ,Project Management - Eng,03-10-1951,MA,Driller,Female,58907,Hispanic,Divorced,Fully Meets,3
28-May-20,06-Aug-20,Sr. DBA,BPC,Active,Part-Time,Zone B,Full-Time,Resignation,Professional military easy so.,IT/IS,Field Operations,30-07-1995,MA,Laborer,Male,26241,Asian,Divorced,Fully Meets,3
19-Jul-19,08-Feb-28,Area Sales Manager,EW,Active,Part-Time,Zone A,Part-Time,Involuntary,Create who sound worry ground.,Sales,Field Operations,02-01-1986,TX,Groundman,Male,24666,Asian,Widowed,Fully Meets,2
03-Jun-21,28-Nov-24,Production Technician I,SVG,Leave of Absence,Part-Time,Zone A,Temporary,Retirement,Big large training region.,Production       ,Field Operations,04-01-1975,MA,Locator,Male,17751,Hispanic,Single,PIP,1
08-May-21,17-Dec-28,Production Technician I,TNS,Leave of Absence,Part-Time,Zone A,Full-Time,Voluntary,Establish fear recently owner.,Production       ,Engineers,14-01-1948,MA,Safety,Male,18610,Hispanic,Widowed,Fully Meets,5
29-Mar-19,05-Sep-29,Production Technician I,MSC,Voluntarily Terminated,Contract,Zone C,Part-Time,Involuntary,According term along ago leave.,Production       ,Engineers,20-03-1946,MA,Splicer,Male,65304,White,Divorced,Fully Meets,2
29-Nov-20,16-Jul-21,Data Analyst,WBL,Active,Part-Time,Zone A,Part-Time,Involuntary,Opportunity upon apply and world.,IT/IS,Fielders,03-07-1976,MA,Services,Male,1671,White,Single,Fully Meets,1
26-Dec-18,27-Nov-19,Administrative Assistant,WBL,Leave of Absence,Contract,Zone B,Full-Time,Voluntary,Baby still now positive traditional head while.,Sales,Safety,08-04-2001,CT,Clerk,Female,6882,Other,Widowed,Fully Meets,3
09-Jun-20,20-Dec-20,Production Technician I,NEL,Active,Full-Time,Zone C,Full-Time,Retirement,Next explain account stay.,Production       ,Executive,09-11-1978,MA,Project Coordinator,Male,77865,Black,Married,Fully Meets,4
10-Jun-22,01-Dec-27,Network Engineer,MSC,Terminated for Cause,Full-Time,Zone B,Part-Time,Resignation,Pretty he matter south treat benefit.,Production       ,Shop (Fleet),03-08-1966,MA,Administration,Female,17446,Black,Married,Fully Meets,5
31-Jul-22,27-Aug-21,Principal Data Architect,CCDR,Active,Contract,Zone C,Part-Time,Resignation,Fast light home sign build not.,Sales,Aerial,29-02-1980,MA,Electrician,Female,80281,Asian,Married,Fully Meets,2
18-May-21,14-Mar-27,Production Technician I,PYZ,Active,Full-Time,Zone C,Temporary,Resignation,According if detail quality difficult.,Production       ,Wireline Construction,04-01-1955,MA,Intern,Male,52490,Asian,Divorced,Fully Meets,3
25-Feb-19,02-Dec-25,Production Technician I,NEL,Active,Full-Time,Zone A,Part-Time,Resignation,Few attorney all campaign town reflect behavior.,Production       ,Field Operations,27-05-1968,MA,Laborer,Male,52805,Other,Married,Fully Meets,4
24-Apr-23,16-Jun-26,Production Technician II,MSC,Active,Contract,Zone A,Part-Time,Retirement,Dinner level write land effort.,Production       ,Field Operations,24-01-1945,MA,Laborer,Female,20039,Black,Married,Fully Meets,1
20-Oct-20,03-Apr-25,Production Technician I,BPC,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Until reason late off training situation.,Production       ,Finance & Accounting,27-10-1990,MA,Contracts,Male,30148,Other,Widowed,Fully Meets,3
29-Sep-18,09-Jul-20,Production Technician I,BPC,Terminated for Cause,Part-Time,Zone C,Full-Time,Voluntary,Dinner level write land effort.,Production       ,Field Operations,31-12-1977,MA,Cfo,Female,58324,Other,Divorced,Fully Meets,2
06-Mar-22,16-Nov-19,Production Technician II,SVG,Active,Part-Time,Zone C,Temporary,Voluntary,Type three hear court street sport key.,Production       ,Engineers,26-05-1995,MA,Engineer,Male,47708,Asian,Single,PIP,1
24-Nov-19,04-Dec-25,Production Technician II,SVG,Future Start,Full-Time,Zone C,Temporary,Retirement,Week degree party available measure.,Production       ,Aerial,06-02-1994,MA,Business Development,Female,4731,White,Divorced,Fully Meets,5
15-Mar-22,14-Sep-22,Production Technician I,BPC,Active,Full-Time,Zone A,Full-Time,Involuntary,Majority executive plan imagine.,Production       ,Field Operations,10-11-1956,MA,Laborer,Male,9912,Hispanic,Single,Fully Meets,3
16-Aug-20,29-Nov-26,IT Manager - Support,PL,Active,Full-Time,Zone A,Full-Time,Resignation,Interest again main describe end charge.,Production       ,Engineers,16-03-1992,MA,Technician,Female,3764,White,Widowed,Fully Meets,4
22-Oct-21,18-Jan-21,BI Director,PL,Leave of Absence,Full-Time,Zone B,Full-Time,Retirement,Too within that room.,IT/IS,Engineers,28-04-1981,MA,Field Project Manager,Female,77288,Other,Divorced,Fully Meets,3
27-Oct-19,01-Apr-24,Senior BI Developer,CCDR,Active,Part-Time,Zone A,Full-Time,Involuntary,Establish go so someone might none stop citizen.,Admin Offices,Finance & Accounting,16-01-1956,MA,Director,Female,12530,Asian,Single,Fully Meets,3
21-Aug-22,30-Jul-22,Production Technician I,WBL,Active,Full-Time,Zone A,Full-Time,Involuntary,Teach human market real upon.,Production       ,People Services,01-10-1973,MA,Project Manager,Female,76954,Hispanic,Single,Needs Improvement,5
20-Aug-21,02-Apr-22,Production Technician I,CCDR,Active,Full-Time,Zone A,Part-Time,Voluntary,Drive feel its former end allow.,Production       ,Field Operations,22-09-1966,MA,Laborer,Male,65105,Other,Married,Fully Meets,5
17-Jul-20,11-May-27,Production Technician I,NEL,Leave of Absence,Part-Time,Zone B,Temporary,Resignation,Here relationship possible purpose instead.,Production       ,Project Management - Eng,06-02-1978,MA,Planner,Male,59015,Asian,Married,Fully Meets,3
24-Oct-20,14-Apr-21,Production Technician II,BPC,Leave of Absence,Part-Time,Zone C,Temporary,Involuntary,Positive far win six might.,Production       ,Fielders,19-01-1970,MA,Model Assistant,Female,95543,White,Married,Fully Meets,1
12-Feb-21,21-Feb-29,Production Technician II,WBL,Active,Part-Time,Zone C,Temporary,Voluntary,Health section option interview.,Production       ,Field Operations,10-01-1953,MA,Flagger,Female,4559,Asian,Single,Fully Meets,5
22-Aug-18,05-Jan-25,Area Sales Manager,CCDR,Voluntarily Terminated,Contract,Zone B,Full-Time,Resignation,Gas place rich dog process movement along.,Sales,Field Operations,09-01-1994,PA,Laborer,Male,9827,Asian,Divorced,Fully Meets,2
16-Feb-19,24-Sep-21,Production Technician I,EW,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Retirement,Six agreement take. Newspaper back land health.,Production       ,Project Management - Con,23-01-1997,MA,Estimator,Female,71696,Asian,Single,Fully Meets,1
04-Mar-19,15-Aug-25,Sr. DBA,BPC,Active,Full-Time,Zone A,Temporary,Voluntary,Today situation minute figure friend opportunity.,Sales,Safety,20-01-1985,MA,Clerk,Male,6826,Other,Widowed,Fully Meets,3
24-Mar-20,08-Oct-24,IT Support,PL,Active,Contract,Zone C,Part-Time,Retirement,Soon walk early star.,Production       ,Wireline Construction,31-01-1973,MA,Locator,Female,14846,Hispanic,Widowed,Fully Meets,4
08-Jul-21,16-Aug-22,Sr. Network Engineer,CCDR,Active,Contract,Zone A,Temporary,Retirement,Here employee minute officer southern.,IT/IS,Engineers,15-07-1988,MA,Assistant,Male,93849,Asian,Single,Fully Meets,5
31-Jul-23,15-May-27,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Authority PM house child cost risk.,Sales,People Services,13-01-1945,MA,Engineer,Male,85847,Asian,Divorced,PIP,3
04-Mar-21,02-Mar-21,IT Manager - DB,SVG,Active,Contract,Zone C,Full-Time,Retirement,Scientist become a become value cell policy.,IT/IS,Technology / It,24-08-1954,MA,Engineer,Male,58969,Black,Widowed,Fully Meets,3
04-Nov-19,02-Dec-21,Production Technician I,SVG,Active,Contract,Zone C,Temporary,Retirement,Sound there everybody anything.,Production       ,Wireline Construction,11-06-1954,MA,Laborer,Female,32156,Hispanic,Single,Fully Meets,2
17-Jan-21,04-Mar-22,Production Technician II,MSC,Active,Full-Time,Zone A,Full-Time,Retirement,Method suggest leave process deep tough seek.,Production       ,General - Con,01-08-1996,MA,Project Coordinator,Female,75643,Black,Widowed,PIP,4
15-Jan-22,15-Mar-20,Production Technician II,NEL,Active,Full-Time,Zone C,Full-Time,Resignation,Else enjoy include expect.,Production       ,People Services,12-04-1953,MA,Operator,Female,9653,White,Widowed,Fully Meets,3
07-Apr-23,10-Jul-21,Production Technician I,PL,Active,Contract,Zone B,Part-Time,Voluntary,Decide statement future ball.,Production       ,Field Operations,29-07-1985,MA,Lineman,Male,53580,Asian,Married,Exceeds,4
19-Oct-22,25-Jan-27,Production Technician II,CCDR,Voluntarily Terminated,Part-Time,Zone B,Temporary,Retirement,Health section option interview.,Production       ,General - Sga,19-04-1964,MA,Engineer,Female,93924,Hispanic,Married,Fully Meets,4
02-Dec-22,03-Dec-19,Production Technician I,EW,Voluntarily Terminated,Full-Time,Zone C,Temporary,Retirement,Technology eight stage hold chance after police.,Production       ,Field Operations,11-02-1990,MA,Project Controls,Female,94399,Other,Married,Fully Meets,4
22-Oct-19,14-Apr-24,BI Director,EW,Active,Contract,Zone B,Full-Time,Retirement,If require particularly civil.,IT/IS,Wireline Construction,13-05-1963,NC,Laborer,Female,45873,Hispanic,Single,Fully Meets,3
19-Feb-22,17-Jul-21,Production Technician I,SVG,Active,Part-Time,Zone B,Temporary,Retirement,Remember teacher produce use voice.,Production       ,Aerial,12-09-1999,MA,Foreman,Female,44455,Hispanic,Widowed,Exceeds,1
24-Jul-21,19-Jan-20,Production Technician I,PL,Active,Contract,Zone A,Part-Time,Resignation,Open test message part risk.,Production       ,General - Con,15-09-1977,MA,Laborer,Female,26664,Asian,Divorced,Fully Meets,3
23-Aug-22,28-Feb-29,Production Technician II,CCDR,Voluntarily Terminated,Part-Time,Zone B,Temporary,Resignation,Describe current question quite coach.,Production       ,Technology / It,03-09-1959,MA,Engineer,Female,86341,Hispanic,Married,Fully Meets,1
17-Nov-19,29-Nov-25,Production Technician I,PL,Active,Contract,Zone C,Full-Time,Retirement,Better design cause yet history decide.,Production       ,Field Operations,20-08-1975,MA,Laborer,Female,66331,Asian,Married,Fully Meets,3
30-Jun-23,25-Jun-28,Production Technician II,SVG,Active,Full-Time,Zone A,Full-Time,Voluntary,Line know television.,Production       ,People Services,24-05-1997,MA,Manager,Female,67886,Other,Divorced,Fully Meets,3
18-Mar-19,05-Jan-22,Sales Manager,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Software Engineering,General - Sga,31-07-1958,MA,Program Manager,Female,54719,White,Married,Fully Meets,3
17-Jan-19,30-Oct-25,Production Technician I,MSC,Leave of Absence,Part-Time,Zone C,Temporary,Involuntary,Car book street pull try brother.,Production       ,Field Operations,24-10-1956,MA,Apprentice,Male,39198,Asian,Married,Needs Improvement,3
06-Jun-19,11-Jun-19,Database Administrator,PYZ,Terminated for Cause,Contract,Zone A,Temporary,Retirement,Maybe establish real still.,Production       ,Executive,23-11-1986,MA,Construction Manager,Female,14908,White,Married,Fully Meets,4
26-Jan-19,18-Mar-26,Production Technician I,MSC,Leave of Absence,Full-Time,Zone A,Part-Time,Resignation,On sport growth now general.,Production       ,General - Con,05-02-1988,MA,Manager,Female,3679,Other,Widowed,PIP,2
21-Oct-22,14-Jul-22,Data Analyst ,PL,Active,Part-Time,Zone C,Temporary,Retirement,Scientist strong team civil quality.,Software Engineering,General - Eng,20-12-1974,MA,Intern,Male,89012,White,Divorced,Fully Meets,2
29-Mar-22,29-Aug-25,IT Manager - DB,BPC,Active,Contract,Zone A,Temporary,Voluntary,Very research level send picture pressure our.,Sales,Sales & Marketing,04-06-1942,NY,Contracts,Female,43303,Black,Widowed,Fully Meets,2
20-Apr-23,23-Jun-20,Network Engineer,MSC,Active,Contract,Zone B,Temporary,Unk,Deep certainly boy record.,Software Engineering,Underground,31-07-1959,MA,Model Assistant,Male,89714,Black,Single,Fully Meets,3
23-Feb-20,20-Nov-19,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Voluntary,Station another son positive.,Sales,Sales & Marketing,09-12-1963,KY,Locator,Male,55062,Other,Divorced,Exceeds,2
24-May-19,06-Oct-22,Production Technician II,BPC,Future Start,Contract,Zone B,Full-Time,Voluntary,Trouble hot lead article guess travel.,Production       ,Catv,07-06-1962,MA,Top Hand,Female,6272,White,Single,Fully Meets,3
01-May-23,02-Dec-24,President & CEO,SVG,Active,Contract,Zone C,Temporary,Retirement,Teach human market real upon.,IT/IS,Field Operations,15-07-1948,MA,Laborer,Male,31123,White,Divorced,Fully Meets,3
26-Sep-18,02-Jan-25,Sr. DBA,MSC,Active,Contract,Zone B,Temporary,Voluntary,Effort situation use necessary.,Software Engineering,Shop (Fleet),26-01-1958,MA,Supervisor,Female,64885,White,Married,Fully Meets,3
01-Oct-20,20-Dec-19,Production Technician II,TNS,Voluntarily Terminated,Contract,Zone A,Part-Time,Involuntary,Soon glass reveal Republican could.,Production       ,Technology / It,10-09-1942,MA,Field Project Manager,Male,25554,Asian,Widowed,Fully Meets,5
04-May-22,25-Mar-28,Production Technician I,CCDR,Active,Full-Time,Zone B,Part-Time,Involuntary,North help rock stage someone book.,Production       ,General - Sga,02-06-1964,MA,Construction Manager,Female,33040,Asian,Widowed,Fully Meets,3
12-Feb-20,14-Nov-19,Director of Sales,WBL,Active,Contract,Zone B,Part-Time,Voluntary,Exactly vote including easy.,Executive Office,Wireline Construction,08-04-1982,MA,Associate,Female,46466,Hispanic,Single,Fully Meets,3
